,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
Jake Ferguson,265.0,290.0,260.0,230.0,N/A,265.0
Ezekiel Elliott,310.0,320.0,300.0,310.0,N/A,310.0
Brandin Cooks,285.0,350.0,280.0,295.0,N/A,285.0
Jalen Tolbert,310.0,480.0,300.0,320.0,N/A,310.0
Luke Schoonmaker,310.0,1000.0,300.0,475.0,N/A,310.0
Andrei Iosivas,390.0,470.0,350.0,300.0,N/A,390.0
KaVontae Turpin,450.0,700.0,450.0,900.0,N/A,450.0
Joe Burrow,475.0,410.0,450.0,340.0,N/A,475.0
Cincinnati Bengals D/ST,450.0,N/A,N/A,N/A,N/A,450.0
Cooper Rush,600.0,950.0,600.0,575.0,N/A,600.0
Tanner Hudson,700.0,1300.0,700.0,510.0,N/A,700.0
Jalen Brooks,700.0,1200.0,700.0,1500.0,N/A,700.0
Jermaine Burton,750.0,1100.0,750.0,750.0,N/A,750.0
Drew Sample,650.0,1300.0,650.0,700.0,N/A,650.0
Jonathan Mingo,900.0,1200.0,900.0,1000.0,N/A,900.0
Deuce Vaughn,1100.0,1800.0,1100.0,2000.0,N/A,1100.0
Brevyn Spann-Ford,1300.0,2100.0,1300.0,1500.0,N/A,1300.0
Hunter Luepke,1300.0,1200.0,1300.0,1050.0,N/A,1300.0
Isaiah Williams,1800.0,2100.0,1700.0,1200.0,N/A,N/A
Ryan Flournoy,1700.0,1200.0,1700.0,1800.0,N/A,1700.0
Trayveon Williams,1800.0,2200.0,1700.0,575.0,N/A,1800.0
Charlie Jones,2000.0,2100.0,1900.0,1200.0,N/A,2000.0
Princeton Fant,1700.0,2100.0,1700.0,2200.0,N/A,1700.0
Tanner McLachlan,2000.0,N/A,1900.0,N/A,N/A,2000.0
Josh Oliver,N/A,500.0,N/A,575.0,650.0,N/A
Minnesota Vikings Defense,N/A,600.0,N/A,N/A,N/A,N/A
Atlanta Falcons Defense,N/A,900.0,N/A,N/A,N/A,N/A
